Time,Temp,Humidity,RawGas,CorrectedGas,AQI,PredictedAQI,AQI_prev1,AQI_prev2,delta_AQI,delta2_AQI
638,35.1,31.9,399,384.7,153,141,175.0,210.0,-22.0,13.0
640,35.1,31.9,362,349.0,124,114,153.0,175.0,-29.0,-7.0
642,35.1,32.0,342,329.5,107,94,124.0,153.0,-17.0,12.0
644,35.1,31.9,328,316.2,96,91,107.0,124.0,-11.0,6.0
646,35.2,31.9,317,305.0,87,84,96.0,107.0,-9.0,2.0
648,35.1,31.9,308,297.0,80,78,87.0,96.0,-7.0,2.0
650,35.1,31.9,300,289.2,74,73,80.0,87.0,-6.0,1.0
652,35.1,31.9,295,284.4,70,70,74.0,80.0,-4.0,2.0
654,35.1,31.9,289,278.6,65,65,70.0,74.0,-5.0,-1.0
656,35.2,31.9,284,273.3,60,59,65.0,70.0,-5.0,0.0
659,35.2,31.9,278,267.5,55,53,60.0,65.0,-5.0,0.0
661,35.2,31.8,272,261.9,50,48,55.0,60.0,-5.0,0.0
663,35.2,31.8,268,258.1,48,46,50.0,55.0,-2.0,3.0
665,35.2,31.8,263,253.3,44,43,48.0,50.0,-4.0,-2.0
667,35.3,31.8,260,249.9,40,38,44.0,48.0,-4.0,0.0
669,35.3,31.8,257,247.0,39,37,40.0,44.0,-1.0,3.0
671,35.3,31.8,254,244.1,36,35,39.0,40.0,-3.0,-2.0
673,35.3,31.7,250,240.5,33,31,36.0,39.0,-3.0,0.0
675,35.3,31.7,247,237.6,30,27,33.0,36.0,-3.0,0.0
677,35.4,31.7,245,235.2,29,27,30.0,33.0,-1.0,2.0
679,35.4,31.7,243,233.3,27,26,29.0,30.0,-2.0,-1.0
681,35.4,31.7,241,231.4,25,23,27.0,29.0,-2.0,0.0
683,35.4,31.7,240,230.4,25,23,25.0,27.0,0.0,2.0
685,35.5,31.6,238,228.2,23,22,25.0,25.0,-2.0,-2.0
687,35.5,31.6,237,227.3,22,20,23.0,25.0,-1.0,1.0
689,35.5,31.6,235,225.4,20,18,22.0,23.0,-2.0,-1.0
691,35.5,31.6,234,224.4,20,18,20.0,22.0,0.0,2.0
693,35.5,31.6,233,223.4,19,18,20.0,20.0,-1.0,-1.0
695,35.5,31.6,232,222.5,18,16,19.0,20.0,-1.0,0.0
697,35.6,31.5,230,220.3,16,13,18.0,19.0,-2.0,-1.0
699,35.6,31.5,229,219.3,15,12,16.0,18.0,-1.0,1.0
702,35.6,31.5,228,218.4,15,13,15.0,16.0,0.0,1.0
704,35.6,31.5,227,217.4,14,12,15.0,15.0,-1.0,-1.0
706,35.6,31.5,225,215.5,12,9,14.0,15.0,-2.0,-1.0
708,35.6,31.5,224,214.6,11,8,12.0,14.0,-1.0,1.0
710,35.6,31.5,223,213.6,10,7,11.0,12.0,-1.0,0.0
712,35.7,31.5,222,212.2,10,7,10.0,11.0,0.0,1.0
714,35.7,31.5,221,211.3,9,6,10.0,10.0,-1.0,-1.0
